anchor_num,filename,correct_answer,option1,option2,option3,chart_column,trend_year,ranking_year,option_type,modality_order_type,library,chart_type
759,ILoBK8xwd6t8.png,"2, 3",A total of 40736.0 results from combining the 2022 lct value and the 2019 lct value for the organization identified as MONDELEZ INTERNATIONAL INC.,"In 2019, SALESFORCE INC. holds the position with the smallest ap value.","Risks associated with investments, particularly in privately held enterprises, were encountered by SALESFORCE INC.",ap,"(2019, 2023)",2019,"{'Text': 'Only_Text', 'Table': 'Arithmetic', 'Chart': 'Ranking'}","table, chart, text",matplotlib,scatter
688,NZz5cPdHmqTH.png,3,"An income approach that relies on discounted cash flows is primarily used by ALLSTATE CORP to value its Level 3 investments, property, plant, and equipment, as well as other assets.",SALESFORCE INC. is the organization with the highest aoloch value in 2021.,SALESFORCE INC. is the company where the sum of the ib value for 2020 and the ib value for 2022 equals 4280.0.,aoloch,"(2019, 2023)",0,"{'Text': 'Only_Text', 'Table': 'Arithmetic', 'Chart': 'Ranking'}","text, chart, table",matplotlib,bar
215,CeSytiQuOzof.png,"1, 3",US FOODS HOLDING CORP. is the organization whose ceq values fell below 19768.5 in 2021.,"Revenue from product sales is acknowledged by SALESFORCE INC upon the transfer of control, typically occurring at the time of shipment or delivery.",SALESFORCE INC. is the organization that showed a steadily rising pattern in sale values from 2019 to 2023.,sale,"(2019, 2023)",0,"{'Text': 'Only_Text', 'Table': 'Conditional_Threshold', 'Chart': 'Trend'}","table, text, chart",matplotlib,line
428,KJXiVvRcbCH8.png,"1, 2, 3",Premiums from immediate annuities with life contingencies are recorded as revenue by ALLSTATE CORP upon receipt at the beginning of the contract.,SALESFORCE INC. is the organization that showed a consistently declining pattern in aoloch values from 2019 to 2023.,ALLSTATE CORP is the organization where the fopo value in 2019 minus the fopo value in 2021 equals 621.0.,aoloch,"(2019, 2023)",0,"{'Text': 'Only_Text', 'Table': 'Arithmetic', 'Chart': 'Trend'}","text, chart, table",matplotlib,scatter
731,9MUSTC5pjcAn.png,"1, 3","Significant contractual commitments of ENERGY TRANSFER LP include servicing long-term debt, making payments for operating leases, and fulfilling purchase agreements.","In 2021, the company with the top oibdp value is COSTCO WHOLESALE CORP.",ABBOTT LABORATORIES is the organization whose aco value in 2023 combined with the aco value in 2021 equals 4602.0.,oibdp,"(2019, 2023)",2021,"{'Text': 'Only_Text', 'Table': 'Arithmetic', 'Chart': 'Ranking'}","text, chart, table",plotly,line
702,f0RIjSWLPPKd.png,3,WARNER BROS DISCOVERY INC. is the organization with the smallest act value in the year 2022.,MONDELEZ INTERNATIONAL INC. is the organization where the sum of the 2022 ibc value and the 2019 ibc value totals 10302.1.,"Due to its global operations, MONDELEZ INTERNATIONAL INC faces risks related to fluctuations in currency exchange rates, variations in interest rates, and changes in commodity prices.",act,"(2019, 2023)",2022,"{'Text': 'Only_Text', 'Table': 'Arithmetic', 'Chart': 'Ranking'}","chart, table, text",plotly,line
153,8AH5LBFGkqvp.png,2,ENERGY TRANSFER LP is the organization with ao values exceeding 6118.5 in 2023.,SALESFORCE INC. is the organization that exhibited a consistently upward trend in oancf values from 2020 to 2022.,Various interconnections with additional pipelines are maintained by SALESFORCE INC via the ET Fuel System.,oancf,"(2020, 2022)",0,"{'Text': 'Only_Text', 'Table': 'Conditional_Threshold', 'Chart': 'Trend'}","table, chart, text",seaborn,scatter
148,s56ogPyTMDYU.png,2,"In the most recently reported period, ABBOTT LABORATORIES reported an amount of $7,392 in net cash generated by operating activities.",COSTCO WHOLESALE CORP. is the organization that demonstrated a consistently upward trend in ibc values from 2020 to 2022.,MONDELEZ INTERNATIONAL INC. is the organization with intan values that were below 18483 in the year 2021.,ibc,"(2020, 2022)",0,"{'Text': 'Only_Text', 'Table': 'Conditional_Threshold', 'Chart': 'Trend'}","text, chart, table",matplotlib,line
693,mKkDaiEknaMF.png,3,The corporation where the spi value for 2022 plus the spi value for 2020 amounts to -971.0 is MONDELEZ INTERNATIONAL INC.,"Export-quality propane, butane, and natural gasoline are provided by SALESFORCE INC through the Mariner South liquids pipeline system.",The company with the greatest ap value in 2022 is MONDELEZ INTERNATIONAL INC.,ap,"(2019, 2023)",2022,"{'Text': 'Only_Text', 'Table': 'Arithmetic', 'Chart': 'Ranking'}","table, text, chart",matplotlib,bar
340,hKUnlfkFm6wW.png,3,"Audits of its consolidated financial statements were conducted by WARNER BROS DISCOVERY INC, including procedures to assess the risks of material misstatement.",MONDELEZ INTERNATIONAL INC. is the organization that showed a consistently upward trend in act values from 2019 to 2022.,ENERGY TRANSFER LP is the organization where the sum of the lt values for 2020 and 2019 equals 127290.0.,act,"(2019, 2022)",0,"{'Text': 'Only_Text', 'Table': 'Arithmetic', 'Chart': 'Trend'}","text, chart, table",seaborn,line
