anchor_num,filename,correct_answer,option1,option2,option3,chart_column,text_chart_trend_year,option_type,modality_order_type,library,chart_type,ranking_year
542,tO8WaE4Lhwad.png,"1, 2, 3","To verify that the carrying amounts of long-lived assets can be recovered, the organization, where the sum of the 2020 txdc value and the 2023 txdc value is -107.0, consistently assesses these assets for impairment.","WARNER BROS DISCOVERY INC. is the company, for every year, with the cogs value below 26673.5 and an act value that steadily rises.",Digital access to its Food Network programming is offered via the Discovery GO and Food Network Kitchen applications by the organization that exhibited a consistent upward trend in act values between 2019 and 2022.,act,"(2019, 2022)","{'Text+Table': 'arithmetic', 'Text+Chart': 'Trend', 'Table+Chart': 'conditional_threshold_and_Trend'}","Text+Table, Table+Chart, Text+Chart",matplotlib,bar,0
858,pTvwNzC96anF.png,1,US FOODS HOLDING CORP is the company with the smallest sale value in the years when the sum of the xint value and invch value for US FOODS HOLDING CORP exceeds 410.5.,Vendor payments and inbound freight related to sold products are included as part of the cost of goods sold by the organization where subtracting the fiao value for 2022 from the fiao value for 2023 results in -1.0.,A withdrawal liability totaling $573 million was calculated by the organization with the top sale value in 2022 upon fully exiting the Bakery and Confectionery Union and Industry International Pension Fund.,sale,none,"{'Text+Table': 'arithmetic', 'Text+Chart': 'Ranking', 'Table+Chart': 'arithmetic_and_Ranking'}","Table+Chart, Text+Table, Text+Chart",matplotlib,bar,0
806,hj5LPP9x0Mse.png,1,"Possessing ten natural gas processing plants with a combined capacity of 1.3 Bcf/d located in the Ark-La-Tex area, the organization has a 2020 rect value plus a 2021 rect value equal to 11729.0.","MONDELEZ INTERNATIONAL INC. is the organization, present in every year, where the cumulative total of xsga values surpasses 18140 and the act values consistently rose.","Substantial foreign currency exposure primarily to the Euro, Polish zloty, and British Pound is exhibited by the organization with the greatest act value in 2020.",act,none,"{'Text+Table': 'arithmetic', 'Text+Chart': 'Ranking', 'Table+Chart': 'arithmetic_and_Trend'}","Text+Table, Table+Chart, Text+Chart",plotly,bar,0
114,ESNU3JgFvvdU.png,2,ALLSTATE CORP is the organization with the niadj value below 10324.5 and an aoloch value that consistently diminishes across every year.,The cost and accumulated depreciation of assets are eliminated from its records by the organization that exhibited a consistently declining trend in aoloch values from 2019 to 2022 when these assets are retired or disposed of.,"When assets are retired or discarded, the organization with ibc values exceeding 10978 in 2022 removes the cost and accumulated depreciation from its records.",aoloch,"(2019, 2022)","{'Text+Table': 'conditional_threshold', 'Text+Chart': 'Trend', 'Table+Chart': 'conditional_threshold_and_Trend'}","Table+Chart, Text+Chart, Text+Table",matplotlib,scatter,0
702,RzIMtxiX6Xge.png,1,"A sum of $32,850 million in incurred claims and assigned claim adjustment expenses for the years ending on December 31 over the mentioned timeframe was disclosed by the company with the maximum aoloch value in 2022.","ALLSTATE CORP is the organization that, for each year, has its capx value below 11677 and an aoloch value that consistently declines.","Certain intangible property was relocated to Ireland by the organization where the 2019 capx value plus the 2021 capx value amounts to 38225.0, resulting in a net tax advantage of $2.0 billion.",aoloch,none,"{'Text+Table': 'arithmetic', 'Text+Chart': 'Ranking', 'Table+Chart': 'conditional_threshold_and_Trend'}","Text+Chart, Table+Chart, Text+Table",seaborn,scatter,0
200,8ka4DKwsiTVO.png,1,"In 2022, the organization retained $745 million in foreign currency forwards categorized as liability derivatives, with ap values below 4882.5.",VERIZON COMMUNICATIONS INC. is the organization with the cumulative total of ivao values below 151997.5 and aoloch values that continuously declined for each year.,"Possessing $745 million in foreign currency forwards categorized as liability derivatives, the company showed a consistently declining trend in aoloch values from 2019 to 2022.",aoloch,"(2019, 2022)","{'Text+Table': 'conditional_threshold', 'Text+Chart': 'Trend', 'Table+Chart': 'arithmetic_and_Trend'}","Text+Table, Table+Chart, Text+Chart",plotly,line,0
352,jbWQ0nGtgReD.png,1,"In the Platform offering for 2021, the organization that has ibc values below 4065.5 facilitates businesses in building tailored applications using drag-and-drop tools.",ABBOTT LABORATORIES is the firm with the minimum oancf value in the years when the siv value for ENERGY TRANSFER LP exceeds 189.,Companies are enabled to develop personalized applications using drag-and-drop tools by the organization with the highest oancf value in the Platform offering for 2022.,oancf,none,"{'Text+Table': 'conditional_threshold', 'Text+Chart': 'Ranking', 'Table+Chart': 'conditional_threshold_and_Ranking'}","Text+Table, Table+Chart, Text+Chart",plotly,scatter,0
844,rxT4qwuvOlpR.png,"1, 2, 3","Concentrating on preserving competitive compensation levels, the organization with the peak aoloch value in 2023 aims to minimize employee turnover and enhance employee satisfaction.",SALESFORCE INC. is the organization identified each year by a total sum of ivncf values below -17857 and aoloch values that consistently decline.,"All claims and legal proceedings are assessed by the organization, where the 2020 nopi value minus the 2023 nopi value amounts to 2252.0, considering their potential merits and anticipated outcomes.",aoloch,none,"{'Text+Table': 'arithmetic', 'Text+Chart': 'Ranking', 'Table+Chart': 'arithmetic_and_Trend'}","Text+Chart, Table+Chart, Text+Table",seaborn,line,0
104,KGdyFkqWWFfu.png,1,"In 2021, the organization with niadj values below 3225.5 has incurred substantial costs due to its ambitious expansion strategies and the integration of previously acquired businesses.","A $4 million rise in adjusted EBITDA related to unconsolidated affiliates, mainly owing to a legal settlement, was announced by the organization that exhibited a consistently upward trend in fopo values from 2019 to 2022.",ENERGY TRANSFER LP is the organization with the nopi value below 1059 and a fopo value that steadily rises for every year.,fopo,"(2019, 2022)","{'Text+Table': 'conditional_threshold', 'Text+Chart': 'Trend', 'Table+Chart': 'conditional_threshold_and_Trend'}","Text+Table, Text+Chart, Table+Chart",seaborn,line,0
712,s25ki5nZjQ5a.png,3,"A rise of roughly $714 million in unrecognized tax benefits was encountered by the organization, whose 2022 dltt value minus the 2023 dltt value results in 1243.0, because of international tax positions from a previous year.",Building the Midland-to-ECHO 3 pipeline to increase transportation capacity to approximately 450 MBPD upon completion is being undertaken by the organization with the largest oibdp value in 2020.,COSTCO WHOLESALE CORP is the organization with the lo value below 3584.4 and the oibdp value steadily rising for every year.,oibdp,none,"{'Text+Table': 'arithmetic', 'Text+Chart': 'Ranking', 'Table+Chart': 'conditional_threshold_and_Trend'}","Text+Table, Text+Chart, Table+Chart",plotly,line,0
